TITLE = "Blade_9505.0_pitch_28.0_AoA_5.0"
VARIABLES = "R_middle" "X_mean" "Y_mean" "Z_mean" "Tx_fR" "Ty_fR" "Tz_fR" "Ft_fR" "Fr_fR" "F1P_fR" "Mx_fR" "My_fR" "Mz_fR" 
ZONE T="Blade_9505.0_pitch_28.0_AoA_5.0", I=45, J=1, K=1, F=BLOCK
  5.207777778e-02  5.623333333e-02  6.038888889e-02  6.454444444e-02  6.870000000e-02  7.285555556e-02
  7.701111111e-02  8.116666667e-02  8.532222222e-02  8.947777778e-02  9.363333333e-02  9.778888889e-02
  1.019444444e-01  1.061000000e-01  1.102555556e-01  1.144111111e-01  1.185666667e-01  1.227222222e-01
  1.268777778e-01  1.310333333e-01  1.351888889e-01  1.393444444e-01  1.435000000e-01  1.476555556e-01
  1.518111111e-01  1.559666667e-01  1.601222222e-01  1.642777778e-01  1.684333333e-01  1.725888889e-01
  1.767444444e-01  1.809000000e-01  1.850555556e-01  1.892111111e-01  1.933666667e-01  1.975222222e-01
  2.016777778e-01  2.058333333e-01  2.099888889e-01  2.141444444e-01  2.183000000e-01  2.224555556e-01
  2.266111111e-01  2.307666667e-01  2.349222222e-01
 -6.127348206e-03 -6.829104407e-03 -7.637156866e-03 -8.526805156e-03 -9.467175578e-03 -1.043936650e-02
 -1.143601487e-02 -1.243142134e-02 -1.342541686e-02 -1.441363398e-02 -1.538824202e-02 -1.633055789e-02
 -1.719735318e-02 -1.791118995e-02 -1.844648283e-02 -1.878084130e-02 -1.891446375e-02 -1.883286679e-02
 -1.866294985e-02 -1.845675893e-02 -1.824539363e-02 -1.802821658e-02 -1.780369022e-02 -1.757624651e-02
 -1.734322107e-02 -1.710501212e-02 -1.686185607e-02 -1.661424480e-02 -1.636140173e-02 -1.610623738e-02
 -1.584665877e-02 -1.558325990e-02 -1.531636202e-02 -1.504541849e-02 -1.477142984e-02 -1.449480802e-02
 -1.421532605e-02 -1.393303172e-02 -1.364707355e-02 -1.335935064e-02 -1.357411030e-02  0.000000000e+00
  0.000000000e+00  0.000000000e+00  0.000000000e+00
 -5.083005382e-02 -5.495674991e-02 -5.906645105e-02 -6.317186098e-02 -6.728385801e-02 -7.139593413e-02
 -7.548840485e-02 -7.956651644e-02 -8.364114052e-02 -8.771337589e-02 -9.178635834e-02 -9.585734886e-02
 -9.993225835e-02 -1.040327014e-01 -1.081702046e-01 -1.123447394e-01 -1.165518154e-01 -1.207878886e-01
 -1.250216183e-01 -1.292564889e-01 -1.334908640e-01 -1.377250745e-01 -1.419582364e-01 -1.461832734e-01
