TITLE = "Blade_9505.0_pitch_28.0_AoA_5.0"
VARIABLES = "R_middle" "X_mean" "Y_mean" "Z_mean" "Tx_fR" "Ty_fR" "Tz_fR" "Ft_fR" "Fr_fR" "F1P_fR" "Mx_fR" "My_fR" "Mz_fR" 
ZONE T="Blade_9505.0_pitch_28.0_AoA_5.0", I=45, J=1, K=1, F=BLOCK
  5.207777778e-02  5.623333333e-02  6.038888889e-02  6.454444444e-02  6.870000000e-02  7.285555556e-02
  7.701111111e-02  8.116666667e-02  8.532222222e-02  8.947777778e-02  9.363333333e-02  9.778888889e-02
  1.019444444e-01  1.061000000e-01  1.102555556e-01  1.144111111e-01  1.185666667e-01  1.227222222e-01
  1.268777778e-01  1.310333333e-01  1.351888889e-01  1.393444444e-01  1.435000000e-01  1.476555556e-01
  1.518111111e-01  1.559666667e-01  1.601222222e-01  1.642777778e-01  1.684333333e-01  1.725888889e-01
  1.767444444e-01  1.809000000e-01  1.850555556e-01  1.892111111e-01  1.933666667e-01  1.975222222e-01
  2.016777778e-01  2.058333333e-01  2.099888889e-01  2.141444444e-01  2.183000000e-01  2.224555556e-01
  2.266111111e-01  2.307666667e-01  2.349222222e-01
  3.160958605e-02  3.403138355e-02  3.636600164e-02  3.863988865e-02  4.088256733e-02  4.310280158e-02
  4.529187796e-02  4.747167972e-02  4.965001300e-02  5.183074301e-02  5.402162459e-02  5.623393159e-02
  5.850241115e-02  6.089710307e-02  6.344425025e-02  6.615966483e-02  6.904003142e-02  7.209308565e-02
  7.520693389e-02  7.834723841e-02  8.149085211e-02  8.463845768e-02  8.779051901e-02  9.093889900e-02
  9.408682890e-02  9.723894627e-02  1.003950645e-01  1.035547964e-01  1.067148226e-01  1.098719049e-01
  1.130317785e-01  1.161950246e-01  1.193613364e-01  1.225284791e-01  1.256938334e-01  1.288597603e-01
  1.320283002e-01  1.351999546e-01  1.383728488e-01  1.415442156e-01  1.441022836e-01  0.000000000e+00
  0.000000000e+00  0.000000000e+00  0.000000000e+00
 -4.027496522e-02 -4.368919734e-02 -4.716657427e-02 -5.069861369e-02 -5.427117701e-02 -5.786629658e-02
 -6.146484763e-02 -6.505236661e-02 -6.863642193e-02 -7.221470235e-02 -7.578388780e-02 -7.932883074e-02
 -8.282314352e-02 -8.622735371e-02 -8.953151962e-02 -9.271978877e-02 -9.578912605e-02 -9.872678419e-02
 -1.016003338e-01 -1.044490407e-01 -1.072937379e-01 -1.101342101e-01 -1.129687436e-01 -1.157954685e-01
 -1.186138511e-01 -1.214290909e-01 -1.242413349e-01 -1.270508910e-01 -1.298533437e-01 -1.326495689e-01
