TITLE = "Blade_9505.0_pitch_28.0_AoA_5.0"
VARIABLES = "R_middle" "X_mean" "Y_mean" "Z_mean" "Tx_fR" "Ty_fR" "Tz_fR" "Ft_fR" "Fr_fR" "F1P_fR" "Mx_fR" "My_fR" "Mz_fR" 
ZONE T="Blade_9505.0_pitch_28.0_AoA_5.0", I=45, J=1, K=1, F=BLOCK
  5.207777778e-02  5.623333333e-02  6.038888889e-02  6.454444444e-02  6.870000000e-02  7.285555556e-02
  7.701111111e-02  8.116666667e-02  8.532222222e-02  8.947777778e-02  9.363333333e-02  9.778888889e-02
  1.019444444e-01  1.061000000e-01  1.102555556e-01  1.144111111e-01  1.185666667e-01  1.227222222e-01
  1.268777778e-01  1.310333333e-01  1.351888889e-01  1.393444444e-01  1.435000000e-01  1.476555556e-01
  1.518111111e-01  1.559666667e-01  1.601222222e-01  1.642777778e-01  1.684333333e-01  1.725888889e-01
  1.767444444e-01  1.809000000e-01  1.850555556e-01  1.892111111e-01  1.933666667e-01  1.975222222e-01
  2.016777778e-01  2.058333333e-01  2.099888889e-01  2.141444444e-01  2.183000000e-01  2.224555556e-01
  2.266111111e-01  2.307666667e-01  2.349222222e-01
 -4.844534816e-02 -5.233596240e-02 -5.618785311e-02 -6.001858176e-02 -6.384520785e-02 -6.766529535e-02
 -7.146112088e-02 -7.524315915e-02 -7.902207977e-02 -8.279986511e-02 -8.658121075e-02 -9.036732187e-02
 -9.417296792e-02 -9.803539139e-02 -1.019711866e-01 -1.059849807e-01 -1.100723403e-01 -1.142328101e-01
 -1.184093503e-01 -1.225945484e-01 -1.267803379e-01 -1.309671741e-01 -1.351545127e-01 -1.393345107e-01
 -1.435095884e-01 -1.476864661e-01 -1.518650674e-01 -1.560452353e-01 -1.602217815e-01 -1.643924669e-01
 -1.685636141e-01 -1.727364836e-01 -1.769108990e-01 -1.810833477e-01 -1.852509770e-01 -1.894173697e-01
 -1.935851735e-01 -1.977551205e-01 -2.019239602e-01 -2.060893283e-01 -2.097933449e-01  0.000000000e+00
  0.000000000e+00  0.000000000e+00  0.000000000e+00
  1.656161297e-02  1.810602298e-02  1.975087249e-02  2.147464238e-02  2.324939561e-02  2.505529061e-02
  2.688103238e-02  2.870257433e-02  3.052201030e-02  3.233529789e-02  3.413542889e-02  3.590355953e-02
  3.759863458e-02  3.914940245e-02  4.053323327e-02  4.172821993e-02  4.273362278e-02  4.353453814e-02
  4.424857610e-02  4.492737004e-02  4.560099888e-02  4.626891010e-02  4.692941455e-02  4.758537588e-02
