TITLE = "Blade_9505.0_pitch_28.0_AoA_5.0"
VARIABLES = "R_middle" "X_mean" "Y_mean" "Z_mean" "Tx_fR" "Ty_fR" "Tz_fR" "Ft_fR" "Fr_fR" "F1P_fR" "Mx_fR" "My_fR" "Mz_fR" 
ZONE T="Blade_9505.0_pitch_28.0_AoA_5.0", I=45, J=1, K=1, F=BLOCK
  5.207777778e-02  5.623333333e-02  6.038888889e-02  6.454444444e-02  6.870000000e-02  7.285555556e-02
  7.701111111e-02  8.116666667e-02  8.532222222e-02  8.947777778e-02  9.363333333e-02  9.778888889e-02
  1.019444444e-01  1.061000000e-01  1.102555556e-01  1.144111111e-01  1.185666667e-01  1.227222222e-01
  1.268777778e-01  1.310333333e-01  1.351888889e-01  1.393444444e-01  1.435000000e-01  1.476555556e-01
  1.518111111e-01  1.559666667e-01  1.601222222e-01  1.642777778e-01  1.684333333e-01  1.725888889e-01
  1.767444444e-01  1.809000000e-01  1.850555556e-01  1.892111111e-01  1.933666667e-01  1.975222222e-01
  2.016777778e-01  2.058333333e-01  2.099888889e-01  2.141444444e-01  2.183000000e-01  2.224555556e-01
  2.266111111e-01  2.307666667e-01  2.349222222e-01
  1.761685489e-02  1.886506613e-02  2.001085134e-02  2.108198621e-02  2.211091749e-02  2.311153254e-02
  2.408145496e-02  2.504596526e-02  2.601014983e-02  2.697839825e-02  2.795911133e-02  2.896769266e-02
  3.004534294e-02  3.127087220e-02  3.267230995e-02  3.426959381e-02  3.606050791e-02  3.805634880e-02
  4.012981902e-02  4.223612796e-02  4.434682225e-02  4.646261978e-02  4.858448922e-02  5.070526980e-02
  5.282820075e-02  5.495608626e-02  5.708870070e-02  5.922558413e-02  6.136494298e-02  6.350342551e-02
  6.564562984e-02  6.779166851e-02  6.994120388e-02  7.209304141e-02  7.424506157e-02  7.639859987e-02
  7.855506607e-02  8.071476085e-02  8.287685197e-02  8.503873469e-02  8.658725784e-02  0.000000000e+00
  0.000000000e+00  0.000000000e+00  0.000000000e+00
 -4.807166668e-02 -5.206717115e-02 -5.609578986e-02 -6.015762870e-02 -6.424836427e-02 -6.835361624e-02
 -7.245250329e-02 -7.653803238e-02 -8.061981345e-02 -8.469684285e-02 -8.876835965e-02 -9.282344124e-02
 -9.684772881e-02 -1.008253253e-01 -1.047548856e-01 -1.086262189e-01 -1.124354143e-01 -1.161727388e-01
 -1.198678787e-01 -1.235475673e-01 -1.272244652e-01 -1.308985780e-01 -1.345684201e-01 -1.382296983e-01
 -1.418829034e-01 -1.455344130e-01 -1.491843107e-01 -1.528327679e-01 -1.564745602e-01 -1.601095205e-01
