TITLE = "Blade_9505.0_pitch_28.0_AoA_5.0"
VARIABLES = "R_middle" "X_mean" "Y_mean" "Z_mean" "Tx_fR" "Ty_fR" "Tz_fR" "Ft_fR" "Fr_fR" "F1P_fR" "Mx_fR" "My_fR" "Mz_fR" 
ZONE T="Blade_9505.0_pitch_28.0_AoA_5.0", I=45, J=1, K=1, F=BLOCK
  5.207777778e-02  5.623333333e-02  6.038888889e-02  6.454444444e-02  6.870000000e-02  7.285555556e-02
  7.701111111e-02  8.116666667e-02  8.532222222e-02  8.947777778e-02  9.363333333e-02  9.778888889e-02
  1.019444444e-01  1.061000000e-01  1.102555556e-01  1.144111111e-01  1.185666667e-01  1.227222222e-01
  1.268777778e-01  1.310333333e-01  1.351888889e-01  1.393444444e-01  1.435000000e-01  1.476555556e-01
  1.518111111e-01  1.559666667e-01  1.601222222e-01  1.642777778e-01  1.684333333e-01  1.725888889e-01
  1.767444444e-01  1.809000000e-01  1.850555556e-01  1.892111111e-01  1.933666667e-01  1.975222222e-01
  2.016777778e-01  2.058333333e-01  2.099888889e-01  2.141444444e-01  2.183000000e-01  2.224555556e-01
  2.266111111e-01  2.307666667e-01  2.349222222e-01
 -1.899662220e-03 -1.852102760e-03 -1.696897522e-03 -1.460429968e-03 -1.174895041e-03 -8.579437133e-04
 -5.137694915e-04 -1.685754327e-04  1.757709483e-04  5.147836419e-04  8.402376411e-04  1.134108808e-03
  1.352775942e-03  1.416373388e-03  1.297827604e-03  9.750282888e-04  4.488738109e-04 -2.943866591e-04
 -1.124512829e-03 -1.990645046e-03 -2.861810590e-03 -3.738690211e-03 -4.622664147e-03 -5.508249315e-03
 -6.398374888e-03 -7.293735559e-03 -8.194092917e-03 -9.098953811e-03 -1.000822905e-02 -1.091878203e-02
 -1.183362238e-02 -1.275238368e-02 -1.367473206e-02 -1.460062877e-02 -1.552865962e-02 -1.645900541e-02
 -1.739230691e-02 -1.832863653e-02 -1.926828543e-02 -2.020906267e-02 -2.059646737e-02  0.000000000e+00
  0.000000000e+00  0.000000000e+00  0.000000000e+00
  5.116277946e-02  5.534844849e-02  5.953395963e-02  6.372799680e-02  6.793647473e-02  7.215000849e-02
  7.634800418e-02  8.053162336e-02  8.471157724e-02  8.888826787e-02  9.306356745e-02  9.723184796e-02
  1.013921851e-01  1.055538136e-01  1.097241156e-01  1.138995602e-01  1.180757432e-01  1.222468988e-01
  1.264019232e-01  1.305524003e-01  1.347015784e-01  1.388496848e-01  1.429956057e-01  1.471330454e-01
  1.512634717e-01  1.553938165e-01  1.595240896e-01  1.636543119e-01  1.677789604e-01  1.718968406e-01
